Tickers,Score
ICICIBANK,9
ZYDUSLIFE,8
KPITTECH,9
CDSL,8
GRAVITA,8
GROBTEA,5
SUDARSCHEM,7
SOBHA,6
NESTLEIND,7
WABAG,8
YASHO,7
DALBHARAT,8
THERMAX,8
TATACONSUM,8
CAMS,8
GANECOS,7
AMBIKCO,6
JINDALPHOT,5
IPCALAB,7
GRINFRA,5
SUNPHARMA,9
GMMPFAUDLR,7
ALKYLAMINE,7
ADANIPORTS,8
ERIS,8
KIRLOSBROS,7
ISGEC,7
SBIN,8
INDHOTEL,8
BIKAJI,8
MAITHANALL,7
MAXHEALTH,9
MFSL,8
RELIANCE,8
ICICIGI,8
GRPLTD,6
HAVELLS,7
MASTEK,6
JUBLPHARMA,7
RPGLIFE,7
VIJAYA,7
CYIENT,7
IMFA,7
RAINBOW,8
ZENTEC,7
HOMEFIRST,8
BHARTIARTL,9
NUVAMA,8
JINDALSTEL,9
GABRIEL,7
APOLSINHOT,6
GHCL,7
EXCELINDUS,7
CARBORUNIV,7
JUSTDIAL,5
ZENSARTECH,6
MOLDTKPAC,7
DENORA,5
FORTIS,7
SALZERELEC,5
GLOBUSSPR,6
AXISBANK,8
AUROPHARMA,7
POLICYBZR,8
TIIL,7
ACCELYA,8
METROBRAND,8
FINCABLES,7
WHIRLPOOL,5
ASAHIINDIA,8
APLLTD,8
AHLUCONT,5
NELCO,5
MARICO,9
ALICON,6
SHYAMMETL,8
EMAMILTD,6
COSMOFIRST,6
TTKPRESTIG,6
TATAINVEST,6
WELCORP,8
DELHIVERY,5
CHOICEIN,8
JUBLINGREA,8
SVLL,7
ARVSMART,7
NH,8
ASIANPAINT,8
GODREJPROP,8
GKWLIMITED,5
CONCORDBIO,6
POLYCAB,8
ADANIGREEN,8
ZOTA,7
JSWSTEEL,9
RATNAMANI,8
LUPIN,8
HCLTECH,8
UTIAMC,7
GALAXYSURF,8
GOODLUCK,7
TTKHLTCARE,6
TECHM,7
SAFARI,8
ADANIENT,8
BAJAJFINSV,9
HDFCAMC,8
SIEMENS,7
PIDILITIND,9
SBILIFE,8
HINDUNILVR,9
KOTAKBANK,9
CIPLA,8
VINATIORGA,7
FLUOROCHEM,8
POLYMED,7
TATACOMM,8
DCMSHRIRAM,7
COLPAL,8
CUMMINSIND,8
ASTRAL,7
DODLA,7
TEGA,8
PRESTIGE,8
AXISCADES,7
SKFINDIA,7
GULFOILLUB,6
INTELLECT,7
TORNTPOWER,8
HESTERBIO,7
BHARATRAS,7
LODHA,8
VENUSPIPES,7
DHUNINV,6
BATAINDIA,5
HDFCBANK,8
ASTRAMICRO,7
HATSUN,6
ASALCBR,6
TVSELECT,7
MANGLMCEM,6
AARTIPHARM,7
AUBANK,8
SYNGENE,7
LICHSGFIN,7
SUPRIYA,6
SCHNEIDER,8
ASTERDM,8
CONTROLPR,6
DLF,7
MAYURUNIQ,7
MTARTECH,7
SIGNATURE,7
BALAMINES,6
NAUKRI,8
GODREJCP,8
PUNJABCHEM,7
RAMCOCEM,8
COCHINSHIP,7
360ONE,8
KIRLPNU,7
AURIONPRO,6
TIINDIA,7
MPHASIS,7
DEEPAKNTR,7
OLECTRA,6
MANKIND,8
POWERMECH,7
OBEROIRLTY,7
GLAXO,7
UBL,8
STYRENIX,6
NESCO,7
LTTS,7
PERSISTENT,8
HONDAPOWER,7
ETHOSLTD,7
STYLAMIND,8
KPIL,7
MAZDOCK,8
SHAILY,8
IMPAL,5
DPABHUSHAN,6
UNOMINDA,9
GESHIP,8
BBTC,6
